ATLAS_ID,Nnondet_std,Nnondet_mean,magdet_std,DET_Nsince_min5d,NON_Nsince_min5d,log10_std_ra_min5d,log10_std_dec_min5d,DET_mag_median_min5d,ra,dec,rb_pix,z,photoz,ebv_sfd,log10_sep_arcsec,CV
1135501731443508800,26.031116910709912,12.571428571428571,0.4224714698735798,5,8,-3.3955375844612217,-3.459236336879348,19.014,208.75841,44.58591,0.35508,0.0432788,0.038098,0.008318496,0.41948567428839,False
1154134911480120900,0.0,0.0,0.1911463226605897,4,7,-3.592349515522769,-3.832521941937948,19.695,235.39559,48.02266,0.288377,,,0.017136548,,False
1061226030443939400,14.066508687896462,6.333333333333333,13.901588506354228,5,16,-3.239149895199146,-3.454113779292248,18.101,93.10867,-44.66069,0.694138,0.040575,,0.05887593,0.0641500111378865,False
1120128251393033800,26.865715450489432,11.166666666666666,0.2307584595776857,5,9,-4.206144517465522,-3.8289861559569816,19.192,180.36826,39.50921,0.908271,,,0.023822173,,False
1005759950203815500,3.181980515339464,1.875,0.1801816543697745,5,7,-3.849159525352716,-3.679163813385825,19.376,14.49985,-20.63726,0.999231,,,0.019598335,-0.0029712280327416,False
1181931720265025100,0.7867957924694432,0.4285714285714285,0.2298496014478044,8,12,-3.741496360371529,-3.405960327832076,17.573,274.88196,-26.83973,0.209279,,,0.46955782,0.2272420846087895,False
1170517140344850000,1.092906420717,0.7777777777777778,0.2279279613289145,10,18,-3.895898797540887,-3.962327918905925,18.9665,256.32142,-34.81377,0.971676,,,0.7974438,,False
1162458451263915600,1.4142135623730951,1.0,0.0650922422413007,3,28,-3.63936956234115,-4.070330760434765,19.189,246.24398,26.65439,0.355904,,,0.035937175,,False
1124042530415019600,0.0,0.0,0.1476397642913318,5,4,-3.379015194047017,-3.908650048336415,17.958,190.17725,-41.83876,0.636094,,,0.15502365,,False
1152205261330859600,14.703900107201935,11.263157894736842,11.837039178306878,5,19,-3.849267963453847,-3.682408975677271,18.553,230.52254,33.14951,0.276926,0.031619,0.042008,0.024825588,0.477306050081338,False
1184845390371145300,53.408280672985946,17.0,0.4097167536015804,9,2,-4.1274192137742896,-3.465628853533121,18.129,282.18829,-37.19552,1.0,,,0.11006809,0.1119310171754982,False
1222128910102857300,0.0,0.0,0.1469619322267152,7,17,-3.790022125727328,-3.627890774140932,18.524,335.37058,-10.48236,0.999997,,,0.046058606,,False
1121837240431740500,0.7071067811865476,0.5,0.1166633332857128,3,5,-3.1767491249813795,-4.492879780409365,17.683,184.65569,-43.29459,0.996301,,,0.11711652,,False
1143757040520218200,0.0,0.0,0.1418992755857638,17,8,-4.286099483488818,-4.320249660037924,17.794,219.48754,-52.03841,1.0,,,0.4988211,,False
1175637641424209500,0.0,0.0,0.1428224422140993,4,7,-3.604183911068266,-3.9640589963438377,19.786,269.15708,42.70271,0.997322,,0.122249,0.02816697,0.1532353533811787,False
1185508090264405600,23.466063293237184,8.73913043478261,0.7999316807331636,10,4,-3.803007776868766,-4.016122039067997,15.2395,283.78338,-26.7357,0.613096,,,0.34904397,0.2603773588813908,False
1170349380462216800,3.401680257083045,1.2857142857142858,0.1302106352177484,6,6,-3.9606507858087774,-3.981353167070201,18.6685,255.95641,-46.3721,0.987543,,,2.8596585,,False
1124902580083951200,10.317576311924276,6.5,1.2772855255786837,11,13,-3.7263476491202456,-4.2364781353722325,13.324,192.26029,-8.66416,0.995306,0.00465,,0.034282677,0.6339441624029143,False
1201957290525017700,13.060299712159312,7.0,13.293673027179938,6,4,-3.774337095716794,-4.1237197062048425,18.594,304.98773,-52.83853,0.916027,,,0.04404188,0.2332371142825409,False
1210349970202150500,0.0,0.0,0.1437434056458481,6,14,-3.269829265321381,-3.44743233119322,17.296,315.95824,-20.36402,1.0,,,0.06274764,,False
1161809731132556900,1.7888543819998317,1.2,0.1163467518526695,6,22,-3.761801586628722,-3.781309715944964,19.2645,244.54079,13.43232,0.966226,0.034257,0.041909,0.058876306,0.4753928582469831,False
1121726641314547300,15.187385116163568,10.64,0.3722385122471874,4,8,-3.9452669749980247,-3.7621644058363377,19.229,184.36132,31.76284,0.393155,,,0.014659375,0.9796638943731484,False
1230515040170231400,0.0,0.0,0.1472807221299214,9,0,-4.395316973121807,-4.494050388359859,18.157,346.31266,-17.04208,0.999454,0.052293,,0.033199824,0.8455800929342894,False
1074031750261900900,6.361279196503878,5.138888888888889,7.844114483294275,5,10,-3.643464837072652,-3.423504394980883,18.174,115.1319,-26.31755,0.227088,0.0098905,,0.81928647,1.537698756804259,False
1151434531512256100,12.499999999999998,6.25,0.3015044223003472,3,5,-3.514130204559379,-3.6925513919759054,19.217,228.6444,51.38246,0.277177,,,0.016156744,,False
1140340190603101800,4.207559543518423,2.608695652173913,9.714330091085907,4,5,-3.313275797207789,-3.3406640524807494,16.9565,210.91606,-60.51759,0.316813,,,4.62801,,False
1163434480770811500,0.0,0.0,0.0993734005017057,11,0,-3.978336726554543,-4.616253408808236,16.64,248.64356,-77.13652,0.999958,,,0.12890762,-0.0775980876189357,False
1214627300034709100,2.422120283277993,1.3333333333333333,0.1320780793607288,7,8,-3.715619848940508,-3.942789831520574,19.19,326.61403,-3.78605,0.996198,,0.067862,0.028945232,0.7737599078603925,False
1000055160011720300,26.5,13.25,0.837164659231782,3,16,-4.492879780442654,-4.454459765325509,19.218,0.22996,-1.28958,0.999117,,,0.044989057,,False
1182405700172236400,23.67437835458812,13.142857142857142,1.1641202277951817,3,11,-4.9375306323294605,-4.698970004304244,16.024,276.02477,-17.37674,0.999173,,,2.60896,0.1355222315646005,False
1164732041154610800,21.73808741459203,14.1,0.33888623131927,4,36,-3.644800266951629,-4.187086643355301,19.2325,251.88301,15.76941,0.214293,,,0.066380486,,False
1091408290571011700,8.845903006477068,4.75,0.2123650551919196,3,13,-3.7194493082088687,-3.7265231337034734,18.475,138.53423,-57.17013,0.660168,,,0.39563015,0.6203341439889171,False
1010527901555050100,6.819090848492928,4.0,0.1520713648258606,4,6,-3.7283799860326905,-3.864175986228248,19.1995,16.36598,55.84692,0.407192,,,0.37028,0.6864000810621806,False
1205831540095747700,21.12785752593868,16.25,1.0251893838346522,3,9,-3.982618946879714,-3.9598070264072014,19.269,314.63155,-9.96303,0.979065,,,0.14781441,,False
1101006500193437300,2.501777462009118,1.894736842105263,0.39381966320323,5,3,-3.651952920009169,-3.712810717797137,18.65,152.52722,-19.57674,0.245551,,,0.061259516,,False
1045236631103342200,0.6666666666666666,0.2222222222222222,0.2746219421515897,8,2,-3.751054092878309,-3.9287438146539815,18.1165,73.15211,10.56198,0.997357,,,0.3784834,0.5769276914937607,False
1004054691263956600,13.44565782272159,8.25,1.1227271326042298,5,11,-3.765309932075129,-3.700768899763468,19.415,10.22767,26.66502,0.959973,,,0.04992841,,False
1143828300401624700,0.5773502691896258,0.3333333333333333,0.2005425973037495,3,17,-3.640196266070024,-3.935908104292032,16.837,219.6176,-40.2734,0.310586,,,0.09704994,,False
1123230560442533500,1.788854381999832,0.8,0.6127408098046021,4,4,-3.225196984837926,-4.541773025728491,17.438000000000002,188.12833,-44.42608,0.976489,,,0.08765491,,False
1165527030403958400,5.140451577852128,3.6666666666666665,0.2062410144966475,3,7,-3.8939061977605074,-3.8856287712072817,18.441,253.86213,-40.66709,0.987034,,,2.3231642,,False
1182951530340009600,0.7071067811865476,0.5,0.3287709435660849,3,1,-4.397940008919917,-3.788104093496584,18.573,277.46477,-34.00295,0.976988,,,0.16971056,,False
