ATLAS_ID,dayN,DET_mag_median,DET_N_total,NON_mag_median,NON_N_total,max_mag,max_mag_day,Nnondet_std,Nnondet_mean,magdet_std,DET_Nsince_min5d,NON_Nsince_min5d,log10_std_ra_min5d,log10_std_dec_min5d,DET_mag_median_min5d,ra,dec,rb_pix,z,photoz,ebv_sfd,log10_sep_arcsec,CV
1164258191011741700,8,,,18.35,25.0,18.991,0.0,0.7071067811865476,0.5,0.0365011415346598,3,1,-3.6181612417749793,-3.394039457845841,18.991,250.74246,1.29494,0.974762,,,0.07265092,,False
1164258191011741700,10,,,18.36,29.0,18.991,0.0,0.7071067811865476,0.5,0.0365011415346598,3,1,-3.6181612417749793,-3.394039457845841,18.991,250.74246,1.29494,0.974762,,,0.07265092,,False
1164258191011741700,12,,,18.805,37.0,18.991,0.0,0.7071067811865476,0.5,0.0365011415346598,3,1,-3.6181612417749793,-3.394039457845841,18.991,250.74246,1.29494,0.974762,,,0.07265092,,False
1224438781265313800,1,,,17.54,17.0,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1224438781265313800,3,,,18.47,21.0,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1224438781265313800,5,18.9505,8.0,,,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1224438781265313800,6,18.983,12.0,,,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1224438781265313800,7,19.161,16.0,,,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1224438781265313800,8,18.889000000000003,20.0,,,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1224438781265313800,10,19.0205,24.0,,,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1224438781265313800,11,19.148,28.0,,,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1224438781265313800,12,19.1465,32.0,,,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1224438781265313800,13,19.019,40.0,,,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1224438781265313800,14,18.934,48.0,,,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1224438781265313800,15,18.721,53.0,,,18.69,-2.0,3.8340579025361614,2.5,0.1624385011832688,6,15,-3.5994125232842404,-3.926471164490043,18.8445,341.16105,26.88716,0.930846,,0.065038,0.06432581,0.347800989222449,False
1183313150123737100,3,18.493,7.0,,,16.3765,0.0,0.5773502691896258,0.3333333333333333,0.096862015258822,4,39,-3.471992483228409,-4.187086643360043,16.3765,278.30545,-12.62683,0.239259,,,2.7299407,0.1791775320972903,False
1183313150123737100,4,15.989999999999998,15.0,18.72,38.0,15.989999999999998,4.0,0.5773502691896258,0.3333333333333333,0.096862015258822,4,39,-3.471992483228409,-4.187086643360043,16.3765,278.30545,-12.62683,0.239259,,,2.7299407,0.1791775320972903,False
1183313150123737100,6,16.054499999999997,21.0,,,15.989999999999998,4.0,0.5773502691896258,0.3333333333333333,0.096862015258822,4,39,-3.471992483228409,-4.187086643360043,16.3765,278.30545,-12.62683,0.239259,,,2.7299407,0.1791775320972903,False
1183313150123737100,8,15.69,29.0,,,15.69,8.0,0.5773502691896258,0.3333333333333333,0.096862015258822,4,39,-3.471992483228409,-4.187086643360043,16.3765,278.30545,-12.62683,0.239259,,,2.7299407,0.1791775320972903,False
1183313150123737100,12,15.9615,31.0,18.67,41.0,15.69,8.0,0.5773502691896258,0.3333333333333333,0.096862015258822,4,39,-3.471992483228409,-4.187086643360043,16.3765,278.30545,-12.62683,0.239259,,,2.7299407,0.1791775320972903,False
1163155971075801100,2,,,18.380000000000003,14.0,18.002,0.0,3.785938897200183,2.5,0.3419682002759904,3,10,-4.132466825194172,-3.9709135673377234,18.002,247.98261,7.96685,0.952049,,,0.07728206,,False
1163155971075801100,4,,,18.29,18.0,18.002,0.0,3.785938897200183,2.5,0.3419682002759904,3,10,-4.132466825194172,-3.9709135673377234,18.002,247.98261,7.96685,0.952049,,,0.07728206,,False
1163155971075801100,6,18.335,4.0,18.99,27.0,18.002,0.0,3.785938897200183,2.5,0.3419682002759904,3,10,-4.132466825194172,-3.9709135673377234,18.002,247.98261,7.96685,0.952049,,,0.07728206,,False
1163155971075801100,8,,,14.61,28.0,18.002,0.0,3.785938897200183,2.5,0.3419682002759904,3,10,-4.132466825194172,-3.9709135673377234,18.002,247.98261,7.96685,0.952049,,,0.07728206,,False
1163155971075801100,10,,,19.235,36.0,18.002,0.0,3.785938897200183,2.5,0.3419682002759904,3,10,-4.132466825194172,-3.9709135673377234,18.002,247.98261,7.96685,0.952049,,,0.07728206,,False
1163155971075801100,12,,,16.51,39.0,18.002,0.0,3.785938897200183,2.5,0.3419682002759904,3,10,-4.132466825194172,-3.9709135673377234,18.002,247.98261,7.96685,0.952049,,,0.07728206,,False
1163155971075801100,13,,,19.255,43.0,18.002,0.0,3.785938897200183,2.5,0.3419682002759904,3,10,-4.132466825194172,-3.9709135673377234,18.002,247.98261,7.96685,0.952049,,,0.07728206,,False
1163155971075801100,14,,,19.32,47.0,18.002,0.0,3.785938897200183,2.5,0.3419682002759904,3,10,-4.132466825194172,-3.9709135673377234,18.002,247.98261,7.96685,0.952049,,,0.07728206,,False
1044222040413438000,4,18.66,6.0,18.39,3.0,18.5185,-1.0,0.5773502691896258,0.3333333333333333,0.164637986706188,4,1,-4.114573994187233,-4.00383372046924,18.5185,70.59186,-41.57724,0.999889,,,0.021733744,,False
1044222040413438000,5,18.7085,10.0,,,18.5185,-1.0,0.5773502691896258,0.3333333333333333,0.164637986706188,4,1,-4.114573994187233,-4.00383372046924,18.5185,70.59186,-41.57724,0.999889,,,0.021733744,,False
1044222040413438000,11,18.967,15.0,,,18.5185,-1.0,0.5773502691896258,0.3333333333333333,0.164637986706188,4,1,-4.114573994187233,-4.00383372046924,18.5185,70.59186,-41.57724,0.999889,,,0.021733744,,False
1044222040413438000,12,18.983,18.0,18.02,5.0,18.5185,-1.0,0.5773502691896258,0.3333333333333333,0.164637986706188,4,1,-4.114573994187233,-4.00383372046924,18.5185,70.59186,-41.57724,0.999889,,,0.021733744,,False
1044222040413438000,13,19.1015,20.0,18.565,7.0,18.5185,-1.0,0.5773502691896258,0.3333333333333333,0.164637986706188,4,1,-4.114573994187233,-4.00383372046924,18.5185,70.59186,-41.57724,0.999889,,,0.021733744,,False
1044222040413438000,15,18.931,23.0,19.32,8.0,18.5185,-1.0,0.5773502691896258,0.3333333333333333,0.164637986706188,4,1,-4.114573994187233,-4.00383372046924,18.5185,70.59186,-41.57724,0.999889,,,0.021733744,,False
1122810920404844600,4,,,18.705,9.0,18.538,0.0,19.33907960581372,10.0,0.5521650568444197,3,5,-3.16204975555266,-4.044865714185092,18.538,187.04537,-40.81307,0.997314,,,0.08976967,,False
1122810920404844600,5,,,18.8,13.0,18.538,0.0,19.33907960581372,10.0,0.5521650568444197,3,5,-3.16204975555266,-4.044865714185092,18.538,187.04537,-40.81307,0.997314,,,0.08976967,,False
1122810920404844600,9,,,18.365,17.0,18.538,0.0,19.33907960581372,10.0,0.5521650568444197,3,5,-3.16204975555266,-4.044865714185092,18.538,187.04537,-40.81307,0.997314,,,0.08976967,,False
1122810920404844600,12,,,19.12,21.0,18.538,0.0,19.33907960581372,10.0,0.5521650568444197,3,5,-3.16204975555266,-4.044865714185092,18.538,187.04537,-40.81307,0.997314,,,0.08976967,,False
1144958261003321400,2,19.131,10.0,19.545,15.0,18.101,-2.0,2.073644135332772,1.4,0.3957863059783665,5,13,-3.947585798160848,-3.380200124057538,18.786,222.49282,0.55681,0.994633,0.039885,0.031227,0.044943675,1.1710976570348512,False
1144958261003321400,3,,,19.395,23.0,18.101,-2.0,2.073644135332772,1.4,0.3957863059783665,5,13,-3.947585798160848,-3.380200124057538,18.786,222.49282,0.55681,0.994633,0.039885,0.031227,0.044943675,1.1710976570348512,False
1144958261003321400,4,,,19.16,27.0,18.101,-2.0,2.073644135332772,1.4,0.3957863059783665,5,13,-3.947585798160848,-3.380200124057538,18.786,222.49282,0.55681,0.994633,0.039885,0.031227,0.044943675,1.1710976570348512,False
1144958261003321400,8,19.235,13.0,19.13,32.0,18.101,-2.0,2.073644135332772,1.4,0.3957863059783665,5,13,-3.947585798160848,-3.380200124057538,18.786,222.49282,0.55681,0.994633,0.039885,0.031227,0.044943675,1.1710976570348512,False
1144958261003321400,12,18.889,14.0,19.27,39.0,18.101,-2.0,2.073644135332772,1.4,0.3957863059783665,5,13,-3.947585798160848,-3.380200124057538,18.786,222.49282,0.55681,0.994633,0.039885,0.031227,0.044943675,1.1710976570348512,False
1172826760144748600,1,,,18.37,12.0,19.1215,0.0,0.0,0.0,0.1137845185720215,4,8,-3.770115342034961,-3.6326000852036944,19.1215,262.11133,-14.79703,0.998881,,,0.48397774,0.3412940419519886,False
